Unnamed: 0,track,artist,track_id,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature,chorus_hit,sections,target,era,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,playlist_id,playlist_name,duration_mins,genre
22370,Tribute (Right On),The Pasadenas,4baAkyIjpj49MImHjJljx2,0.697,0.679,B,-12.814,minor,0.0362,0.118,0.000123,0.209,0.968,107.255,301733,4,58.61402,12,1,80s,,,,,,,,,,,,,,,,,,,,,,
22374,Chanter pour ceux qui sont loin de chez eux - Remasterisé en 2002,Michel Berger,7w0uMCTE1TBIGfUYIYYjuL,0.817,0.44,A,-11.579,minor,0.042,0.678,7.8e-05,0.117,0.772,103.446,222120,4,46.606,9,0,80s,,,,,,,,,,,,,,,,,,,,,,
22379,Bia Lulucha,Cesária Evora,2ddfCiC26mGInDqeKmQwNz,0.509,0.786,D,-11.512,minor,0.05,0.12,0.00372,0.0564,0.933,123.306,302360,4,37.00055,14,0,80s,,,,,,,,,,,,,,,,,,,,,,
22380,Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),2XeodpciW0pdNeg8a8AAbf,0.511,0.64,D,-6.394,major,0.0291,0.556,9.03e-05,0.235,0.407,84.24,241800,4,27.08667,11,1,80s,,,,,,,,,,,,,,,,,,,,,,
22385,El piojo y la pulga,Pedro Infante,12s2lnXuy7Il1SbC88jRBm,0.641,0.334,C,-10.82,major,0.0878,0.964,0.000223,0.199,0.912,82.683,183480,4,44.82291,10,0,80s,,,,,,,,,,,,,,,,,,,,,,
22393,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),2LBu8ppBl3aenuqUnBxysH,0.604,0.814,C# / Db,-9.873,major,0.0286,0.056,0.0,0.29,0.822,108.766,254173,4,27.36302,12,1,80s,,,,,,,,,,,,,,,,,,,,,,
22404,Make It Mean Something,Rob Jungklas,2T8kbLmiTRcbivETQyksel,0.503,0.794,A,-9.427,major,0.0534,0.125,5.3e-06,0.2,0.68,117.108,235960,4,18.23638,12,1,80s,,,,,,,,,,,,,,,,,,,,,,
22412,You Can,Madleen Kane,5voyo3rpCN1mtAa930dQaW,0.529,0.595,D,-9.05,major,0.0417,0.156,0.0719,0.212,0.706,121.674,418333,4,45.94039,15,1,80s,,,,,,,,,,,,,,,,,,,,,,
22433,Los Momentos,Eduardo Gatti,6WbKPKpe5KOTuFOJ9YEQQC,0.58,0.119,B,-22.644,minor,0.0377,0.769,0.00485,0.102,0.535,158.693,192067,3,49.69782,8,0,80s,,,,,,,,,,,,,,,,,,,,,,
22435,Pretty Boys And Pretty Girls,Book Of Love,6w9JIox7iUtiMR4QNUyvA2,0.511,0.935,G,-4.015,major,0.0422,0.00148,0.184,0.135,0.49,119.916,289135,4,47.17332,11,1,80s,,,,,,,,,,,,,,,,,,,,,,
22441,The Motion Of Love,Gene Loves Jezebel,3kDNbgnKWe8rd7DL34tQwt,0.565,0.73,B,-12.817,minor,0.04,0.0441,0.0,0.128,0.692,111.563,233400,4,23.16101,13,1,80s,,,,,,,,,,,,,,,,,,,,,,
22443,Fantastic Voyage,Lakeside,0rc9Uwm4vmnQEfx5omLWWF,0.816,0.603,G,-11.924,major,0.0749,0.134,4.27e-05,0.152,0.963,114.767,370893,4,29.47999,13,1,80s,,,,,,,,,,,,,,,,,,,,,,
22446,Minimal Melody,Housephonics,1fCXGdP9VMZVJD13kyTM1J,0.802,0.917,C,-5.455,major,0.134,0.339,0.837,0.0866,0.0378,130.011,273293,4,52.4289,11,0,80s,,,,,,,,,,,,,,,,,,,,,,
22466,99 1/2,Carol Lynn Townes,6evtCeDaCwOFSXNiCdm0R1,0.762,0.845,A# / Bb,-9.762,minor,0.0859,0.264,0.319,0.219,0.648,119.203,242000,4,30.18972,9,1,80s,,,,,,,,,,,,,,,,,,,,,,
22467,96 Tears,Garland Jeffreys,6au8o0VvJ8jM8o13ys3Jqg,0.647,0.645,B,-11.395,major,0.0307,0.000527,0.00201,0.0914,0.902,117.683,185573,4,28.57912,9,1,80s,,,,,,,,,,,,,,,,,,,,,,
22475,I'll Still Be Loving You,Restless Heart,2Cr6EnTzsPVNo6smjq9kA6,0.546,0.251,G# / Ab,-14.753,major,0.0295,0.723,0.0,0.0943,0.271,168.554,258493,4,45.75812,8,1,80s,,,,,,,,,,,,,,,,,,,,,,
22476,The Dance No. 1,Laraaji,2z7VAEi6i9GMkQloRUzyu1,0.347,0.868,F# / Gb,-9.658,minor,0.0381,0.707,0.945,0.0904,0.272,117.595,555360,4,54.21847,15,0,80s,,,,,,,,,,,,,,,,,,,,,,
22477,The Island,Paul Brady,5TjYiOt2CSqApOFo8gMkCb,0.567,0.103,F,-15.332,major,0.0308,0.971,9.02e-06,0.0923,0.312,82.611,327960,4,48.0664,19,0,80s,,,,,,,,,,,,,,,,,,,,,,
22482,Trust In Me,Thelonious Monk,1IzmzJqOsGhcfMqLbfUmif,0.472,0.0333,A# / Bb,-19.666,major,0.0539,0.943,0.519,0.0909,0.21,64.16,271000,4,55.92063,11,0,80s,,,,,,,,,,,,,,,,,,,,,,
22485,The Captain Of Her Heart,Double,5EwltLwI9hRLyiTUAjMsQ6,0.671,0.641,G# / Ab,-9.488,major,0.0241,0.648,0.000346,0.118,0.385,96.281,274617,4,54.60471,12,1,80s,,,,,,,,,,,,,,,,,,,,,,
22486,"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,0ACu78PvVsOFYIKgRkKbGZ,0.517,0.335,E,-13.104,major,0.0324,0.561,0.0,0.0876,0.163,138.096,244360,4,44.51819,7,1,80s,,,,,,,,,,,,,,,,,,,,,,
22497,Вальс-бостон,Alexander Rosenbaum,10Fo1KC9bIF3nD7dzzh1FY,0.657,0.187,G,-13.944,minor,0.0543,0.821,0.0,0.113,0.622,89.389,215376,4,28.30975,12,0,80s,,,,,,,,,,,,,,,,,,,,,,
22509,"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,1PDaDtPKDZrtPWPUpx5eOA,0.576,0.886,C,-10.208,major,0.227,0.235,0.00414,0.0869,0.465,119.735,106800,4,30.80536,7,1,80s,,,,,,,,,,,,,,,,,,,,,,
