Unnamed: 0,track,artist,track_id,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature,chorus_hit,sections,target,era,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,playlist_id,playlist_name,duration_mins,genre
0,Jealous Kind Of Fella,Garland Green,1dtKN6wwlolkM8XZy2y9C1,0.417,0.62,D# / Eb,-7.727,major,0.0403,0.49,0.0,0.0779,0.845,185.655,173533,3,32.94975,9,1,60s,,,,,,,,,,,,,,,,,,,,,,
1,Initials B.B.,Serge Gainsbourg,5hjsmSnUefdUqzsDogisiX,0.498,0.505,D# / Eb,-12.475,major,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,0,60s,,,,,,,,,,,,,,,,,,,,,,
2,Melody Twist,Lord Melody,6uk8tI6pwxxdVTNlNOJeJh,0.657,0.649,F,-13.392,major,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,0,60s,,,,,,,,,,,,,,,,,,,,,,
3,Mi Bomba Sonó,Celia Cruz,7aNjMJ05FvUXACPWZ7yJmv,0.59,0.545,G,-12.058,minor,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,24.75484,8,0,60s,,,,,,,,,,,,,,,,,,,,,,
4,Uravu Solla,P. Susheela,1rQ0clvgkzWr001POOPJWx,0.515,0.765,B,-3.515,minor,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,21.79874,14,0,60s,,,,,,,,,,,,,,,,,,,,,,
5,Beat n. 3,Ennio Morricone,32VBSoD2vcoIOiPEvAfFXU,0.697,0.673,C,-10.573,major,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,65.48604,7,0,60s,,,,,,,,,,,,,,,,,,,,,,
6,Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,62eoocmGk59EMfuRcLBvUL,0.662,0.272,C,-18.883,major,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,0,60s,,,,,,,,,,,,,,,,,,,,,,
7,Happy Days,Marv Johnson,0ecGwZA1ReAq4Mn3ZInaT4,0.72,0.624,F,-9.086,minor,0.0473,0.795,0.0,0.488,0.887,119.999,160040,4,30.42891,8,1,60s,,,,,,,,,,,,,,,,,,,,,,
8,Carolina - Remastered 2006,Caetano Veloso,15gNqKkZN9Mq9AvnRqWJKb,0.545,0.22,D,-15.079,minor,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,47.08099,6,0,60s,,,,,,,,,,,,,,,,,,,,,,
9,I Can Hear Music,The Beach Boys,1hcMfYTsRTC4hIKbfosxjz,0.511,0.603,D,-7.637,major,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1,60s,,,,,,,,,,,,,,,,,,,,,,
10,"The Aftermath (From ""Stagecoach"")",Jerry Goldsmith,6Rt6SJijLoLxTYwGX73JMQ,0.491,0.0675,A# / Bb,-17.096,major,0.0606,0.826,0.519,0.134,0.122,124.986,177387,4,35.90329,7,0,60s,,,,,,,,,,,,,,,,,,,,,,
11,Ride Away,Roy Orbison,1nxSCulSg5AtmExqgHPPC0,0.52,0.411,A,-12.411,major,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1,60s,,,,,,,,,,,,,,,,,,,,,,
12,Caboclo Nordestino,Luiz Gonzaga,1IFkSZaIT1j6O4GO6N3Pqd,0.717,0.565,D,-8.606,minor,0.0283,0.451,0.0,0.108,0.961,100.757,134507,4,49.41165,6,0,60s,,,,,,,,,,,,,,,,,,,,,,
