Unnamed: 0,track,artist,track_id,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature,chorus_hit,sections,target,era,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,playlist_id,playlist_name,duration_mins,genre
30528,Forever - Original Club Mix,Bruderschaft,47Gqy79zgQgvqIvjpkAcXE,0.572,0.958,C,-7.173,minor,0.0372,0.00621,0.00584,0.434,0.597,134.975,407133,4,28.9064,16,0,00s,,,,,,,,,,,,,,,,,,,,,,
30529,No Air,Jordin Sparks Duet With Chris Brown,1jUA4rb6ZCv4gby4YU53xq,0.466,0.759,G# / Ab,-4.978,minor,0.199,0.0521,0.0,0.0587,0.328,160.033,264373,4,41.9013,13,1,00s,,,,,,,,,,,,,,,,,,,,,,
30532,焼け野が原,Cocco,4GCjTYW7bZZ62rj7gPn2Na,0.33,0.934,E,-3.702,major,0.0858,0.00485,0.0,0.307,0.357,159.781,256770,4,27.05203,9,0,00s,,,,,,,,,,,,,,,,,,,,,,
30533,Have A Nice Day,Stereophonics,6JWddKPdqvDc2WkPEi9grC,0.508,0.826,C# / Db,-4.088,minor,0.0405,0.018,0.0,0.28,0.404,120.854,205067,4,64.31488,9,0,00s,,,,,,,,,,,,,,,,,,,,,,
30536,Lost Without U,Robin Thicke,4V2F0DZrAXOWq9hkwMMG3x,0.664,0.351,C,-12.136,major,0.118,0.226,2.38e-06,0.106,0.816,113.204,254147,5,71.92873,13,1,00s,,,,,,,,,,,,,,,,,,,,,,
30537,Black Rock,The Infamous Stringdusters,1LR2pHbA2MpfC6CGo0Yaxq,0.596,0.749,A,-9.537,minor,0.0312,0.632,0.959,0.092,0.933,128.01,211640,3,39.79587,11,0,00s,,,,,,,,,,,,,,,,,,,,,,
30541,Beautiful Love,The Afters,2Sx2TE4Lm977qfXcBF3KU3,0.449,0.816,G# / Ab,-3.635,minor,0.0373,0.000172,0.000311,0.225,0.394,132.022,238320,4,30.8333,12,1,00s,,,,,,,,,,,,,,,,,,,,,,
30542,Fränkisches Bier,J.B.O.,1XaPLUCuofzvel2LDfkF8j,0.517,0.788,C,-3.671,minor,0.0352,0.061,0.0,0.159,0.827,82.051,226467,4,45.65416,12,0,00s,,,,,,,,,,,,,,,,,,,,,,
30545,Théologie Du Misanthrope - Instrumental,Misanthrope,2J0h1x5WNzSkVqNahAQg9L,0.267,0.968,A,-5.516,major,0.0804,3.95e-06,0.794,0.103,0.126,119.995,444000,4,38.55895,17,0,00s,,,,,,,,,,,,,,,,,,,,,,
30548,All My Friends Say,Luke Bryan,539dFCMA8lfEElDPgGpcIB,0.683,0.9,A,-4.422,major,0.0333,0.0439,0.0,0.177,0.962,117.036,242800,4,25.51928,11,1,00s,,,,,,,,,,,,,,,,,,,,,,
30549,Call The Ships To Port,Covenant,70XOzn4IstIYPGpcgTFJd2,0.562,0.892,A,-6.679,minor,0.0808,0.19,0.956,0.233,0.545,140.774,295587,4,27.83613,10,0,00s,,,,,,,,,,,,,,,,,,,,,,
30550,Forgot About Dre,Dr. Dre Featuring Eminem,7iXF2W9vKmDoGAhlHdpyIa,0.924,0.74,G# / Ab,-1.299,major,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,4,48.00927,10,1,00s,,,,,,,,,,,,,,,,,,,,,,
30551,I Know You Want Me (Calle Ocho),Pitbull,13plQdOoWSSXPRUSZc5FuM,0.817,0.733,D,-6.009,major,0.145,0.0152,4.31e-05,0.107,0.833,127.056,237120,4,31.22514,12,1,00s,,,,,,,,,,,,,,,,,,,,,,
30557,Voyager,Kai Tracid,1rWdUiSzbgf0irCP17MsMT,0.832,0.876,A,-9.134,major,0.119,0.0037,0.931,0.0658,0.322,138.02,434567,4,39.57674,18,0,00s,,,,,,,,,,,,,,,,,,,,,,
30558,Killa,Cherish Featuring Yung Joc,5KzHTHTjftb7QFh5GicRnO,0.796,0.705,F,-4.82,minor,0.0358,0.0332,2.14e-06,0.0809,0.774,113.964,228973,4,20.6832,9,1,00s,,,,,,,,,,,,,,,,,,,,,,
30559,Back In Black,Joe Lynn Turner,5FeKvIEExgtE915wmXj9xM,0.454,0.894,B,-4.279,minor,0.0409,0.000788,0.138,0.274,0.434,92.702,272600,4,34.90689,10,0,00s,,,,,,,,,,,,,,,,,,,,,,
30560,Are You Happy Now?,Michelle Branch,5B7XIcS5T76NJZFOHX30Io,0.484,0.827,G# / Ab,-5.324,major,0.046,0.0039,0.00143,0.0876,0.717,179.566,230760,4,27.6623,10,1,00s,,,,,,,,,,,,,,,,,,,,,,
30562,Funeral Thrash - Studio,Aura Noir,7AoG99N8gMYkXROwHfENEL,0.278,0.994,A,-6.591,major,0.0599,0.00191,0.912,0.183,0.112,134.692,202733,1,74.70994,9,0,00s,,,,,,,,,,,,,,,,,,,,,,
30563,New Wave Anthem,Frigidaire Tango,23nSTTTkZrFraIdDbsDe0e,0.445,0.703,F,-4.812,minor,0.0301,0.00285,0.00012,0.109,0.236,140.192,299680,4,42.73691,12,0,00s,,,,,,,,,,,,,,,,,,,,,,
30564,Roller Coaster Train,David Rovics,4qSbFAOLy6nKWfdu2noexY,0.537,0.496,D,-8.527,major,0.0377,0.495,0.0,0.104,0.668,146.585,164133,4,35.4011,8,0,00s,,,,,,,,,,,,,,,,,,,,,,
