Unnamed: 0,track,artist,track_id,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature,chorus_hit,sections,target,era,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,playlist_id,playlist_name,duration_mins,genre
26574,Down for Life,Biohazard,5PbC9tBONAbLTDTfMvzndz,0.323,0.932,G# / Ab,-6.552,major,0.0447,8.03e-05,2.09e-05,0.135,0.558,98.243,225960,4,43.69078,11,0,90s,,,,,,,,,,,,,,,,,,,,,,
26577,Boom Shak A-Tack,Born Jamericans,4L0JH42JwC8EgB2RnuTRKq,0.684,0.583,B,-9.979,major,0.17,0.00427,0.0,0.195,0.59,173.375,249333,4,28.65164,10,1,90s,,,,,,,,,,,,,,,,,,,,,,
26585,Bow Wow Wow,Funkdoobiest,3IIcde6RoSqbDloQaDzoK2,0.899,0.525,B,-11.498,major,0.141,0.023,0.688,0.108,0.696,102.962,253144,4,33.36369,9,1,90s,,,,,,,,,,,,,,,,,,,,,,
26589,I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,03qSYwxRCavJccioep27Sx,0.417,0.861,G,-5.613,major,0.101,0.238,2.79e-05,0.882,0.294,70.379,354107,4,56.15198,17,1,90s,,,,,,,,,,,,,,,,,,,,,,
26596,Iesha,Another Bad Creation,4PWaeUVCHIVbXlpXEuIcvR,0.751,0.761,G# / Ab,-8.151,major,0.147,0.0145,2.96e-06,0.0305,0.661,111.819,260400,4,55.07593,9,1,90s,,,,,,,,,,,,,,,,,,,,,,
26597,C'mon N' Ride It (The Train),Quad City DJ's,2QLEN3RVunMas7j0PHjeAT,0.843,0.959,F# / Gb,-4.933,minor,0.0914,0.0913,0.0,0.408,0.923,135.988,451440,4,65.96235,16,1,90s,,,,,,,,,,,,,,,,,,,,,,
26599,You Suck,The Murmurs,5GeKAkZWvOX8pqLZyyJOoB,0.458,0.476,C# / Db,-7.737,major,0.0308,0.477,2.14e-05,0.12,0.247,149.398,195067,4,45.05292,8,1,90s,,,,,,,,,,,,,,,,,,,,,,
26602,"Bess, You is My Woman Now - ""Porgy and Bess"" Rehearsal Performance, July 19, 1935",George Gershwin,6nYCS7KMAFTMAazXAzUip2,0.239,0.121,C# / Db,-22.994,major,0.0588,0.991,0.918,0.125,0.094,86.663,332907,4,29.16027,15,0,90s,,,,,,,,,,,,,,,,,,,,,,
26607,Fields Of Gray,Bruce Hornsby,7t5xZo0fUxFAU8B8LMo49R,0.662,0.61,G,-6.767,major,0.0256,0.131,5.88e-06,0.093,0.587,108.008,291427,4,39.32017,13,1,90s,,,,,,,,,,,,,,,,,,,,,,
26612,Decypher,Velvet Acid Christ,5VLwUDyAkxvcL2nZOqtwyX,0.521,0.851,C,-8.104,major,0.0401,0.00373,0.238,0.11,0.6,139.983,287000,4,35.65402,9,0,90s,,,,,,,,,,,,,,,,,,,,,,
26616,Water Boy,Imperial Teen,04dKVuscoB2Bm4GPJwTs3w,0.396,0.85,E,-5.736,minor,0.0722,0.000534,0.0,0.0585,0.609,157.182,96560,4,25.48581,7,0,90s,,,,,,,,,,,,,,,,,,,,,,
26618,Every Little Thing I Do,Soul For Real,5u3rsmRYRSKJpFHXPT4p07,0.713,0.378,G,-9.04,minor,0.0298,0.00561,0.00186,0.0845,0.291,99.055,260067,4,57.8796,11,1,90s,,,,,,,,,,,,,,,,,,,,,,
26619,With A Song In My Heart - 1998 Remaster,Sonny Clark,1f7EWS1kruAco1sc1W614Q,0.52,0.492,C,-8.791,minor,0.0425,0.656,0.000111,0.279,0.811,76.95,475293,4,49.33072,17,0,90s,,,,,,,,,,,,,,,,,,,,,,
26620,At Night I Pray,Wild Orchid,7jEC8cMF6Ssu4AyneXPhUF,0.608,0.785,D,-5.992,minor,0.0891,0.439,0.0,0.0786,0.403,155.458,256600,4,39.8394,10,1,90s,,,,,,,,,,,,,,,,,,,,,,
26621,Defiled,New Bomb Turks,5fS306Dk5PJJsEVwzXJPgy,0.14,0.988,B,-4.545,major,0.192,0.00119,0.000115,0.403,0.0663,174.654,218893,4,87.5204,7,0,90s,,,,,,,,,,,,,,,,,,,,,,
26623,ตกใจหมดเลย,Nut Meria,4Ucpg7d3GNs1FXDV580Wqk,0.806,0.94,G,-5.771,minor,0.0433,0.0528,0.0,0.107,0.912,137.067,233387,4,29.8535,12,0,90s,,,,,,,,,,,,,,,,,,,,,,
